"variable","Freq","Mean_imp","Median_imp","se","MP_ID","gtdb_sp_name","ncbi_sp_name","dataset","Time"
"X2.Methylbutyric.acid_Screening",0.05,0.022560253968254,0.0210277777777778,0.00204860335936117,NA,NA,NA,"SCFA","Screening"
"abx_screen_status",0.04,0.0307393055555555,0.0199375,0.0169079215969068,NA,NA,NA,"SCFA","Screening"
"n_pretreatment_events",0.24,0.040818687169312,0.0268053968253968,0.00628828036015363,NA,NA,NA,"SCFA","Screening"
"n_washout_days",0.01,0.0340133333333334,0.0340133333333334,NA,NA,NA,NA,"SCFA","Screening"
"total.recurrences",0.02,0.0337338888888889,0.0337338888888889,0.0012492063492063,NA,NA,NA,"SCFA","Screening"
"total_abx_days_prescreen",0.2,0.0719246666666665,0.0673129761904759,0.00824844446844316,NA,NA,NA,"SCFA","Screening"
"treat.day.len.abx",0.02,0.0574955555555555,0.0574955555555555,0.0300398412698411,NA,NA,NA,"SCFA","Screening"
"Abx.group",0.08,0.0144317162698412,0.00451047619047619,0.00824858032007954,NA,NA,NA,"BA","Screening"
"Age",0.43,0.0651995474680358,0.0548426984126982,0.00634206298205747,NA,NA,NA,"BA","Screening"
"Alloiso_Isolithocholic.Acid_Screening",0.08,0.0422623908730158,0.0310928968253968,0.0123872567431324,NA,NA,NA,"BA","Screening"
"BMI",0.01,0.075611825396825,0.075611825396825,NA,NA,NA,NA,"BA","Screening"
"Chenodeoxycholic.Acid_Screening",0.04,0.0519355555555554,0.0384656349206349,0.0148075992843925,NA,NA,NA,"BA","Screening"
"Cholic.Acid_Screening",0.04,0.0591338690476188,0.0584143253968252,0.0142822277625,NA,NA,NA,"BA","Screening"
"Dehydrolithocholic.Acid_Screening",0.05,0.0520910793650792,0.0524021428571428,0.0135309505062344,NA,NA,NA,"BA","Screening"
"Deoxycholic.Acid_Screening",0.01,0.0241242063492064,0.0241242063492064,NA,NA,NA,NA,"BA","Screening"
"Glycochenodeoxycholic.Acid_Screening",0.04,0.0670108730158731,0.0455887301587302,0.025724115424742,NA,NA,NA,"BA","Screening"
"Glycocholic.Acid_Screening",0.15,0.0407051693121693,0.0432576984126984,0.00357367583425887,NA,NA,NA,"BA","Screening"
"Glycodeoxycholic.Acid_Screening",0.01,0.0347335714285714,0.0347335714285714,NA,NA,NA,NA,"BA","Screening"
"Glycoursodeoxycholic.Acid_Screening",0.05,0.0405426349206348,0.0415771428571427,0.00754594005357438,NA,NA,NA,"BA","Screening"
"Lithocholic.Acid_Screening",0.02,0.059632222222222,0.059632222222222,0.0243078571428569,NA,NA,NA,"BA","Screening"
"Taurochenodeoxycholic.Acid_Screening",0.3,0.05456723015873,0.0495622222222222,0.0042261740531117,NA,NA,NA,"BA","Screening"
"Taurocholic.Acid_Screening",0.17,0.0388568674136321,0.0389995238095238,0.00380921068486511,NA,NA,NA,"BA","Screening"
"Taurodeoxycholic.Acid_Screening",0.05,0.0331147777777777,0.0288099206349206,0.0063112872786884,NA,NA,NA,"BA","Screening"
"Tauroursodeoxycholic.Acid_Screening",0.12,0.0368008068783068,0.0290851190476191,0.00548689984382161,NA,NA,NA,"BA","Screening"
"Ursodeoxycholic.Acid_Screening",0.01,0.0287218253968254,0.0287218253968254,NA,NA,NA,NA,"BA","Screening"
"abx_screen_status",0.07,0.0147643424036281,0.00820166666666667,0.00553228196162289,NA,NA,NA,"BA","Screening"
"n_pretreatment_events",0.35,0.0367598616780045,0.0280268253968254,0.00477992449976699,NA,NA,NA,"BA","Screening"
"total.recurrences",0.03,0.0455206084656084,0.0457727777777776,0.0061379328269748,NA,NA,NA,"BA","Screening"
"total_abx_days_prescreen",0.08,0.0360103373015872,0.0364419444444444,0.00705620055840252,NA,NA,NA,"BA","Screening"
"treat.day.len.abx",0.06,0.0361183333333333,0.0311076587301587,0.00654262513496469,NA,NA,NA,"BA","Screening"
"Age",0.61,0.0834798074421024,0.0782607936507932,0.00517687569993958,NA,NA,NA,"Mic_Class","Screening"
"BMI",0.02,0.0321914285714286,0.0321914285714286,0.0022816666666667,NA,NA,NA,"Mic_Class","Screening"
"Bacilli_Screening",0.04,0.0348020039682539,0.0303358333333333,0.00639151440304228,NA,NA,NA,"Mic_Class","Screening"
"Bacteroidia_Screening",0.53,0.0637302785265047,0.0622283333333331,0.0028310921647535,NA,NA,NA,"Mic_Class","Screening"
"Betaproteobacteria_Screening",0.19,0.0445175229741018,0.0357195238095238,0.00614844500112049,NA,NA,NA,"Mic_Class","Screening"
"Deltaproteobacteria_Screening",0.03,0.0284267724867725,0.0207769047619048,0.00789898110194215,NA,NA,NA,"Mic_Class","Screening"
"Eurotiomycetes_Screening",0.01,0.00742333333333334,0.00742333333333334,NA,NA,NA,NA,"Mic_Class","Screening"
"Gammaproteobacteria_Screening",0.12,0.0406599206349206,0.0367956349206349,0.00347359410213056,NA,NA,NA,"Mic_Class","Screening"
"Glomeromycetes_Screening",0.06,0.00626325396825397,0.0068452380952381,0.00175475168813837,NA,NA,NA,"Mic_Class","Screening"
"Negativicutes_Screening",0.3,0.0620053465608464,0.0503889285714285,0.00597117368857765,NA,NA,NA,"Mic_Class","Screening"
"abx_screen_status",0.06,0.0372252645502646,0.0409788492063492,0.00455213544508325,NA,NA,NA,"Mic_Class","Screening"
"n_pretreatment_events",0.33,0.0435414550264549,0.0375538095238095,0.00562446466438725,NA,NA,NA,"Mic_Class","Screening"
"n_washout_days",0.04,0.0463730753968254,0.0461763888888889,0.00421878039122582,NA,NA,NA,"Mic_Class","Screening"
"total.recurrences",0.04,0.0360786706349206,0.0338672619047619,0.00920653874670183,NA,NA,NA,"Mic_Class","Screening"
"total_abx_days_prescreen",0.07,0.0451499433106576,0.045815238095238,0.00443496880182249,NA,NA,NA,"Mic_Class","Screening"
"treat.day.len.abx",0.06,0.0438716666666666,0.0369145238095238,0.00761739780792883,NA,NA,NA,"Mic_Class","Screening"
"uncl_Class_of_Firmicutes_Screening",0.36,0.0416353196649029,0.032933253968254,0.00461676067311502,NA,NA,NA,"Mic_Class","Screening"
"Abx.group",0.01,0.0206378571428572,0.0206378571428572,NA,NA,NA,NA,"Mic_Order","Screening"
"Actinomycetales_Screening",0.13,0.038461923076923,0.0288252380952381,0.00485954264219771,NA,NA,NA,"Mic_Order","Screening"
"Age",0.64,0.0657423586309522,0.0597807142857142,0.00327584799118294,NA,NA,NA,"Mic_Order","Screening"
"Bacteroidales_Screening",0.45,0.049538037037037,0.0458278571428571,0.00273505735380492,NA,NA,NA,"Mic_Order","Screening"
"Burkholderiales_Screening",0.19,0.0448964494569757,0.0393371428571428,0.00383711096660117,NA,NA,NA,"Mic_Order","Screening"
"Coriobacteriales_Screening",0.01,0.0188040476190476,0.0188040476190476,NA,NA,NA,NA,"Mic_Order","Screening"
"Desulfovibrionales_Screening",0.01,0.0177954761904762,0.0177954761904762,NA,NA,NA,NA,"Mic_Order","Screening"
"Enterobacterales_Screening",0.09,0.0339055908289242,0.032325,0.00454192961302437,NA,NA,NA,"Mic_Order","Screening"
"Eurotiales_Screening",0.02,0.00316119047619047,0.00316119047619047,0.000922142857142856,NA,NA,NA,"Mic_Order","Screening"
"Lactobacillales_Screening",0.04,0.0332342261904762,0.0271771428571429,0.0118405372519463,NA,NA,NA,"Mic_Order","Screening"
"Micrococcales_Screening",0.2,0.0366283452380952,0.0384256349206349,0.00326785129835945,NA,NA,NA,"Mic_Order","Screening"
"Pasteurellales_Screening",0.05,0.0304837777777777,0.0220130952380953,0.0104309214048421,NA,NA,NA,"Mic_Order","Screening"
"Selenomonadales_Screening",0.04,0.0276785714285714,0.0222686904761905,0.00713882874168435,NA,NA,NA,"Mic_Order","Screening"
"Streptomycetales_Screening",0.07,0.0337947278911564,0.0333171428571429,0.00399320701438483,NA,NA,NA,"Mic_Order","Screening"
"Veillonellales_Screening",0.27,0.0534697031158141,0.0446430952380952,0.0054623370561501,NA,NA,NA,"Mic_Order","Screening"
"Xanthomonadales_Screening",0.07,0.0142015419501134,0.0106802380952381,0.00354248486784881,NA,NA,NA,"Mic_Order","Screening"
"abx_screen_status",0.06,0.0380833465608466,0.0406690079365079,0.00434307024835758,NA,NA,NA,"Mic_Order","Screening"
"n_pretreatment_events",0.4,0.0353748015873015,0.0301309523809524,0.00377137546738109,NA,NA,NA,"Mic_Order","Screening"
"n_washout_days",0.03,0.0309597883597884,0.0300719047619048,0.00712670428451156,NA,NA,NA,"Mic_Order","Screening"
"total.recurrences",0.04,0.0268590873015873,0.0258514285714286,0.00414280055171012,NA,NA,NA,"Mic_Order","Screening"
"total_abx_days_prescreen",0.09,0.0330654850088183,0.0177464285714286,0.00968734023390552,NA,NA,NA,"Mic_Order","Screening"
"treat.day.len.abx",0.03,0.0320810846560846,0.020585,0.0158959578134674,NA,NA,NA,"Mic_Order","Screening"
"uncl_Order_of_Firmicutes_Screening",0.35,0.0299745419501133,0.0215530952380953,0.00329128108513743,NA,NA,NA,"Mic_Order","Screening"
"Abx.group",0.02,0.0171545238095238,0.0171545238095238,0.000132142857142867,NA,NA,NA,"Mic_Genus","Screening"
"Actinomyces_Screening",0.08,0.0303360615079365,0.0271688888888889,0.00477747865119359,NA,NA,NA,"Mic_Genus","Screening"
"Age",0.7,0.0573767811791382,0.0471512698412698,0.00363816602214016,NA,NA,NA,"Mic_Genus","Screening"
"Alistipes_Screening",0.04,0.01669,0.0161152380952381,0.00170136860786653,NA,NA,NA,"Mic_Genus","Screening"
"Anaerostipes_Screening",0.03,0.0179228306878307,0.0164239682539683,0.00325697888223878,NA,NA,NA,"Mic_Genus","Screening"
"Anaerotruncus_Screening",0.04,0.0113210714285714,0.0104139285714286,0.00113066008127454,NA,NA,NA,"Mic_Genus","Screening"
"Bacteroides_Screening",0.14,0.0302695918367347,0.0292025,0.002364690623776,NA,NA,NA,"Mic_Genus","Screening"
"Blautia_Screening",0.02,0.0221840476190476,0.0221840476190476,0.00168166666666667,NA,NA,NA,"Mic_Genus","Screening"
"Citrobacter_Screening",0.18,0.0243201895943563,0.0204127777777778,0.00298191056648303,NA,NA,NA,"Mic_Genus","Screening"
"Desulfovibrio_Screening",0.05,0.0163575714285714,0.0170045238095238,0.00115481848511361,NA,NA,NA,"Mic_Genus","Screening"
"Dialister_Screening",0.32,0.0363641344246031,0.032814126984127,0.00327201452927249,NA,NA,NA,"Mic_Genus","Screening"
"Eisenbergiella_Screening",0.12,0.0209113293650794,0.0163466666666667,0.00342492732733633,NA,NA,NA,"Mic_Genus","Screening"
"Enterobacter_Screening",0.02,0.020598373015873,0.020598373015873,0.0047098015873016,NA,NA,NA,"Mic_Genus","Screening"
"Enterococcus_Screening",0.07,0.0211185034013606,0.017125,0.0053103937659859,NA,NA,NA,"Mic_Genus","Screening"
"Erysipelatoclostridium_Screening",0.01,0.0156907142857143,0.0156907142857143,NA,NA,NA,NA,"Mic_Genus","Screening"
"Escherichia_Screening",0.07,0.0384312925170068,0.0370164285714286,0.0062999957085842,NA,NA,NA,"Mic_Genus","Screening"
"Eubacterium_Screening",0.01,0.0122440476190476,0.0122440476190476,NA,NA,NA,NA,"Mic_Genus","Screening"
"Faecalibacterium_Screening",0.01,0.0240697619047619,0.0240697619047619,NA,NA,NA,NA,"Mic_Genus","Screening"
"Faecalicatena_Screening",0.01,0.00742380952380952,0.00742380952380952,NA,NA,NA,NA,"Mic_Genus","Screening"
"Faecalimonas_Screening",0.06,0.0125175,0.0124588095238095,0.00174579527231633,NA,NA,NA,"Mic_Genus","Screening"
"Gordonibacter_Screening",0.01,0.00925714285714286,0.00925714285714286,NA,NA,NA,NA,"Mic_Genus","Screening"
"Haemophilus_Screening",0.03,0.0217752116402117,0.0185619047619048,0.00659000538701993,NA,NA,NA,"Mic_Genus","Screening"
"Harryflintia_Screening",0.03,0.0346434126984126,0.0248780952380953,0.0119282306166924,NA,NA,NA,"Mic_Genus","Screening"
"Klebsiella_Screening",0.28,0.0410572193877551,0.0337654761904762,0.00480584545572601,NA,NA,NA,"Mic_Genus","Screening"
"Kluyvera_Screening",0.01,0.00939523809523811,0.00939523809523811,NA,NA,NA,NA,"Mic_Genus","Screening"
"Megasphaera_Screening",0.01,0.00384571428571429,0.00384571428571429,NA,NA,NA,NA,"Mic_Genus","Screening"
"Morganella_Screening",0.09,0.0146020194003528,0.0151255555555556,0.00152467392369536,NA,NA,NA,"Mic_Genus","Screening"
"Neglecta_Screening",0.01,0.010632380952381,0.010632380952381,NA,NA,NA,NA,"Mic_Genus","Screening"
"Odoribacter_Screening",0.04,0.018029880952381,0.0131847619047619,0.00689625680718752,NA,NA,NA,"Mic_Genus","Screening"
"Parabacteroides_Screening",0.25,0.0289326095238095,0.0271480952380953,0.00324752072363376,NA,NA,NA,"Mic_Genus","Screening"
"Parasutterella_Screening",0.02,0.026125,0.026125,0.00754547619047617,NA,NA,NA,"Mic_Genus","Screening"
"Prevotella_Screening",0.03,0.0386877777777777,0.0445772222222222,0.00656649882969656,NA,NA,NA,"Mic_Genus","Screening"
"Rhizophagus_Screening",0.01,0.00616904761904761,0.00616904761904761,NA,NA,NA,NA,"Mic_Genus","Screening"
"Robinsoniella_Screening",0.02,0.00749511904761905,0.00749511904761905,0.00271869047619048,NA,NA,NA,"Mic_Genus","Screening"
"Ruminococcus_Screening",0.2,0.0308131031746031,0.0243139682539683,0.00386529525384729,NA,NA,NA,"Mic_Genus","Screening"
"Selenomonas_Screening",0.03,0.0119400793650794,0.0114969047619048,0.00140202492538771,NA,NA,NA,"Mic_Genus","Screening"
"Shigella_Screening",0.07,0.0157085260770975,0.0152054761904762,0.00226966690640683,NA,NA,NA,"Mic_Genus","Screening"
"Streptomyces_Screening",0.04,0.029082996031746,0.0308296825396825,0.00312312374721671,NA,NA,NA,"Mic_Genus","Screening"
"Sutterella_Screening",0.02,0.0176309523809524,0.0176309523809524,0.00488285714285714,NA,NA,NA,"Mic_Genus","Screening"
"Veillonella_Screening",0.37,0.0508787666237665,0.0447307142857143,0.00362808217137862,NA,NA,NA,"Mic_Genus","Screening"
"abx_screen_status",0.01,0.0337569047619047,0.0337569047619047,NA,NA,NA,NA,"Mic_Genus","Screening"
"n_pretreatment_events",0.4,0.027354623015873,0.0237549206349206,0.00269165173848239,NA,NA,NA,"Mic_Genus","Screening"
"total.recurrences",0.02,0.0241259523809524,0.0241259523809524,0.00175476190476192,NA,NA,NA,"Mic_Genus","Screening"
"total_abx_days_prescreen",0.11,0.0261940043290043,0.0251242857142858,0.00317615579051848,NA,NA,NA,"Mic_Genus","Screening"
"treat.day.len.abx",0.02,0.0179573412698413,0.0179573412698413,0.00154440476190476,NA,NA,NA,"Mic_Genus","Screening"
"uncl_Genus_of_Burkholderiales_Screening",0.01,0.0181388095238095,0.0181388095238095,NA,NA,NA,NA,"Mic_Genus","Screening"
"uncl_Genus_of_Clostridiales_Screening",0.15,0.0286777195767196,0.0260480952380952,0.00267490556276876,NA,NA,NA,"Mic_Genus","Screening"
"uncl_Genus_of_Erysipelotrichales_Screening",0.02,0.0153438095238095,0.0153438095238095,0.00136071428571427,NA,NA,NA,"Mic_Genus","Screening"
"uncl_Genus_of_Firmicutes_Screening",0.18,0.0219621957671958,0.0215392857142857,0.00222728968559096,NA,NA,NA,"Mic_Genus","Screening"
"Absiella.sp..MP634G1_ig1_Screening",0.01,0.0216986507936508,0.0216986507936508,NA,"MP634G1_ig1","Longicatena innocuum","[Clostridium] innocuum_MP634G1_ig1","Mic_Species","Screening"
"Age",0.49,0.0561535568513118,0.0460419047619048,0.00386150772235076,NA,NA,NA,"Mic_Species","Screening"
"Alistipes.finegoldii_Screening",0.01,0.0103166666666667,0.0103166666666667,NA,NA,NA,NA,"Mic_Species","Screening"
"Alistipes.sp..MP413B11_Screening",0.01,0.0214747619047619,0.0214747619047619,NA,"MP413B11","Alistipes shahii","Alistipes shahii_MP413B11","Mic_Species","Screening"
"Anaerotruncus.colihominis_Screening",0.08,0.0176683928571429,0.0166238095238095,0.00258136993115538,NA,NA,NA,"Mic_Species","Screening"
"Bacteroides.fragilis_Screening",0.01,0.0369523809523809,0.0369523809523809,NA,NA,NA,NA,"Mic_Species","Screening"
"Bacteroides.vulgatus_Screening",0.05,0.0204710952380952,0.0207466666666667,0.00493719181626684,NA,NA,NA,"Mic_Species","Screening"
"Bacteroides.xylanisolvens_Screening",0.01,0.00925047619047619,0.00925047619047619,NA,NA,NA,NA,"Mic_Species","Screening"
"Bifidobacterium.animalis_Screening",0.04,0.0403452976190476,0.0323288095238095,0.0115780552373826,NA,NA,NA,"Mic_Species","Screening"
"Blautia.producta_Screening",0.04,0.0167803571428572,0.0138332142857143,0.00389439581806895,NA,NA,NA,"Mic_Species","Screening"
"Blautia.sp..CAG.257_Screening",0.01,0.0104319047619048,0.0104319047619048,NA,NA,NA,NA,"Mic_Species","Screening"
"Blautia.sp..HF17_Screening",0.01,0.00852714285714286,0.00852714285714286,NA,"HF17","Blautia_A sp000433815","Blautia hansenii_HF17","Mic_Species","Screening"
"Blautia.sp..HK34_Screening",0.01,0.0119842857142857,0.0119842857142857,NA,NA,NA,NA,"Mic_Species","Screening"
"Blautia.sp..MP512E3_Screening",0.03,0.0188614285714286,0.0196747619047619,0.00126188897863744,"MP512E3","Blautia_A sp900066165","Ruminococcus sp. AM42-11_MP512E3","Mic_Species","Screening"
"Blautia.sp..MP87G3_Screening",0.01,0.0108371428571429,0.0108371428571429,NA,"MP87G3","Blautia sp001304935","Clostridia bacterium UC5.1-1D4_MP87G3","Mic_Species","Screening"
"Blautia.sp..Marseille.P3201T_Screening",0.01,0.0125942857142857,0.0125942857142857,NA,NA,NA,NA,"Mic_Species","Screening"
"Burkholderiales.bacterium.1_1_47_Screening",0.06,0.0168454761904762,0.0164945238095238,0.0024161188643341,NA,NA,NA,"Mic_Species","Screening"
"Citrobacter.amalonaticus_Screening",0.03,0.0129843650793651,0.0121104761904762,0.00271369487558992,NA,NA,NA,"Mic_Species","Screening"
"Citrobacter.freundii_Screening",0.35,0.034655179138322,0.0302215079365079,0.00389230178463646,NA,NA,NA,"Mic_Species","Screening"
"Clostridiales.bacterium.CCNA10_Screening",0.07,0.0208336054421769,0.0207942857142857,0.00300779378790246,NA,NA,NA,"Mic_Species","Screening"
"Clostridium.bolteae.CAG.59_Screening",0.01,0.0101138095238095,0.0101138095238095,NA,NA,NA,NA,"Mic_Species","Screening"
"Dialister.invisus.CAG.218_Screening",0.17,0.0224917787114846,0.0235711904761905,0.00233225768429797,NA,NA,NA,"Mic_Species","Screening"
"Dialister.invisus_Screening",0.08,0.0213136607142857,0.0206008333333333,0.00288262223206893,NA,NA,NA,"Mic_Species","Screening"
"Dialister.pneumosintes_Screening",0.01,0.020085,0.020085,NA,NA,NA,NA,"Mic_Species","Screening"
"Enterococcus.faecium_Screening",0.01,0.0207892857142857,0.0207892857142857,NA,NA,NA,NA,"Mic_Species","Screening"
"Erysipelatoclostridium.sp..MP572A05_Screening",0.01,0.0122480952380953,0.0122480952380953,NA,"MP572A05","Erysipelatoclostridium spiroforme","[Clostridium] spiroforme_MP572A05","Mic_Species","Screening"
"Erysipelotrichaceae.bacterium.6_1_45_Screening",0.02,0.0191895238095238,0.0191895238095238,0.000971904761904759,NA,NA,NA,"Mic_Species","Screening"
"Escherichia.coli_Screening",0.04,0.0246749007936508,0.0221411111111112,0.00409944561300414,NA,NA,NA,"Mic_Species","Screening"
"Faecalimonas.umbilicata_Screening",0.07,0.0201804761904762,0.0133828571428572,0.00523188193777738,NA,NA,NA,"Mic_Species","Screening"
"Flavonifractor.sp..MP70H9_Screening",0.02,0.0151816666666667,0.0151816666666667,0.00456595238095238,"MP70H9","N/A","Flavonifractor plautii_MP70H9","Mic_Species","Screening"
"Haemophilus.parainfluenzae_Screening",0.03,0.0176573015873016,0.0208109523809524,0.00337178755132308,NA,NA,NA,"Mic_Species","Screening"
"Hungatella.hathewayi_Screening",0.01,0.0111166666666667,0.0111166666666667,NA,NA,NA,NA,"Mic_Species","Screening"
"Hungatella.sp..MP403D11_Screening",0.02,0.00942476190476191,0.00942476190476191,0.000237857142857146,"MP403D11","Hungatella effluvii","Hungatella effluvii_MP403D11","Mic_Species","Screening"
"Hungatella.sp..MP42C12_Screening",0.03,0.0166509523809524,0.0144583333333333,0.00461889727500374,"MP42C12","Hungatella effluvii","Hungatella effluvii_MP42C12","Mic_Species","Screening"
"Hungatella.sp..MP558G09_Screening",0.01,0.0166766666666667,0.0166766666666667,NA,"MP558G09","Hungatella sp005845265","Clostridium sp. 1001175st1 A10_MP558G09","Mic_Species","Screening"
"Hungatella.sp..MP626D7_ig1_Screening",0.01,0.00832214285714286,0.00832214285714286,NA,"MP626D7_ig1","Hungatella sp005845265","Clostridium sp. 1001175st1 A10_MP626D7_ig1","Mic_Species","Screening"
"Intestinimonas.massiliensis_Screening",0.02,0.012979880952381,0.012979880952381,0.00396607142857144,NA,NA,NA,"Mic_Species","Screening"
"Klebsiella.michiganensis_Screening",0.44,0.0355037987012987,0.033624126984127,0.00280378891176675,NA,NA,NA,"Mic_Species","Screening"
"Klebsiella.oxytoca_Screening",0.02,0.0217896825396825,0.0217896825396825,0.00576174603174601,NA,NA,NA,"Mic_Species","Screening"
"Klebsiella.pneumoniae_Screening",0.01,0.0282892857142857,0.0282892857142857,NA,NA,NA,NA,"Mic_Species","Screening"
"Lachnoclostridium.sp..HF18_Screening",0.01,0.00456190476190476,0.00456190476190476,NA,"HF18","Enterocloster bolteae","[Clostridium] bolteae_HF18","Mic_Species","Screening"
"Lachnoclostridium.sp..MP625H7_ig1_Screening",0.06,0.0145095238095238,0.00979928571428572,0.00338912261470512,"MP625H7_ig1","Enterocloster bolteae","[Clostridium] bolteae_MP625H7_ig1","Mic_Species","Screening"
"Lachnoclostridium.sp..VE303.01_Screening",0.01,0.00975904761904763,0.00975904761904763,NA,NA,NA,NA,"Mic_Species","Screening"
"Lachnospiraceae.bacterium.3_1_46FAA_Screening",0.01,0.0091004761904762,0.0091004761904762,NA,NA,NA,NA,"Mic_Species","Screening"
"Lachnospiraceae.bacterium.9_1_43BFAA_Screening",0.04,0.02475375,0.0280216666666667,0.00501433633505912,NA,NA,NA,"Mic_Species","Screening"
"Lachnospiraceae.bacterium.AM25.17_Screening",0.01,0.0383471428571429,0.0383471428571429,NA,NA,NA,NA,"Mic_Species","Screening"
"Lactobacillus.paracasei_Screening",0.02,0.0145961904761905,0.0145961904761905,0.000102380952380958,NA,NA,NA,"Mic_Species","Screening"
"Lactobacillus.plantarum_Screening",0.01,0.0149938095238095,0.0149938095238095,NA,NA,NA,NA,"Mic_Species","Screening"
"Morganella.morganii_Screening",0.17,0.0194429551820728,0.0174002380952381,0.00225628598345127,NA,NA,NA,"Mic_Species","Screening"
"Odoribacter.splanchnicus_Screening",0.02,0.00901071428571429,0.00901071428571429,0.00214833333333334,NA,NA,NA,"Mic_Species","Screening"
