"","Value","Std.Error","DF","t.value","pval","scfa_var","Var","Strain","adj.pval"
"2-Methylbutyric acid.Ruminococcaceae.bacterium.cv2.St_Abundance",-0.42786945900528,2.10044866885228,43,-0.203703839732049,0.839545932681038,"2-Methylbutyric acid","St_Abundance","Ruminococcaceae.bacterium.cv2",0.876616792046175
"2-Methylbutyric acid.Enterococcus.faecium.St_Abundance",2.82724094227532,1.09570318374269,43,2.58029819044431,0.0133698015894378,"2-Methylbutyric acid","St_Abundance","Enterococcus.faecium",0.0380881434256581
"2-Methylbutyric acid.Ruthenibacterium.sp..VE800.03.St_Abundance",0.845242516036047,1.85276461839859,43,0.456206097440817,0.650537684567958,"2-Methylbutyric acid","St_Abundance","Ruthenibacterium.sp..VE800.03",0.729586281080866
"2-Methylbutyric acid.Citrobacter.freundii.St_Abundance",-1.42897958541212,0.527442582186372,43,-2.70926093886594,0.00964360391121563,"2-Methylbutyric acid","St_Abundance","Citrobacter.freundii",0.0298209905562207
"2-Methylbutyric acid.Subdoligranulum.sp..MP158A7.St_Abundance",0.0663374540155031,1.96302807363652,43,0.0337934311314319,0.973198257242021,"2-Methylbutyric acid","St_Abundance","Subdoligranulum.sp..MP158A7",0.979969745255116
"2-Methylbutyric acid.Lactococcus.lactis.St_Abundance",0.364686248267964,2.64833816770255,43,0.137703807132883,0.891117318009919,"2-Methylbutyric acid","St_Abundance","Lactococcus.lactis",0.915926834249968
"2-Methylbutyric acid.Lactobacillus.paragasseri.St_Abundance",0.102038457322359,1.37308347821658,43,0.0743133676438166,0.941105680619259,"2-Methylbutyric acid","St_Abundance","Lactobacillus.paragasseri",0.954829038833561
"2-Methylbutyric acid.Erysipelatoclostridium.sp..MP572A05.St_Abundance",3.40700312021184,2.76277801965252,43,1.23318018891737,0.224207625152734,"2-Methylbutyric acid","St_Abundance","Erysipelatoclostridium.sp..MP572A05",0.321260668436671
"2-Methylbutyric acid.Enterobacter.cloacae.St_Abundance",-1.17620496327333,0.656810907900284,43,-1.79078171377126,0.0803697000591411,"2-Methylbutyric acid","St_Abundance","Enterobacter.cloacae",0.146857361017158
"2-Methylbutyric acid.Romboutsia.sp..MP232A8.St_Abundance",1.68049327967329,2.61629900444944,43,0.642316981665835,0.524077382210048,"2-Methylbutyric acid","St_Abundance","Romboutsia.sp..MP232A8",0.62824962814445
"2-Methylbutyric acid.Faecalibacterium.prausnitzii.St_Abundance",0.2779952875223,0.886424156920834,43,0.313614295539925,0.755330331168866,"2-Methylbutyric acid","St_Abundance","Faecalibacterium.prausnitzii",0.813168722292259
"2-Methylbutyric acid.Streptococcus.salivarius.St_Abundance",0.740733416388732,1.84761740472465,43,0.400912772576487,0.69046960067819,"2-Methylbutyric acid","St_Abundance","Streptococcus.salivarius",0.760693975412208
"2-Methylbutyric acid.Klebsiella.oxytoca.St_Abundance",-0.414409183651318,0.302078711534999,43,-1.37185828668799,0.177223090531962,"2-Methylbutyric acid","St_Abundance","Klebsiella.oxytoca",0.265084400634704
"2-Methylbutyric acid.Streptococcus.thermophilus.St_Abundance",-0.325251659895155,0.780534488688214,43,-0.416703764675128,0.67896799673047,"2-Methylbutyric acid","St_Abundance","Streptococcus.thermophilus",0.750995479110621
"2-Methylbutyric acid.Lactobacillus.rhamnosus.St_Abundance",-1.36904700643699,0.452087846603895,43,-3.02827651024315,0.00414753636687997,"2-Methylbutyric acid","St_Abundance","Lactobacillus.rhamnosus",0.0133168287331959
"2-Methylbutyric acid.Actinomyces.graevenitzii.St_Abundance",-20.1956534135279,11.2547755584931,43,-1.79440747694767,0.0797805472438761,"2-Methylbutyric acid","St_Abundance","Actinomyces.graevenitzii",0.14600203334767
"2-Methylbutyric acid.Actinomyces.sp..HPA0247.St_Abundance",1.93662540992919,4.27321124283575,43,0.453201421571666,0.65268246295381,"2-Methylbutyric acid","St_Abundance","Actinomyces.sp..HPA0247",0.731069492157205
"2-Methylbutyric acid.Actinomyces.oris.St_Abundance",-5.94232832753567,7.29952727311982,43,-0.814070295951634,0.42009013126406,"2-Methylbutyric acid","St_Abundance","Actinomyces.oris",0.531242955230119
"2-Methylbutyric acid.Actinomyces.naeslundii.St_Abundance",-9.49650904775638,5.87246540962569,43,-1.61712473132501,0.1131650005706,"2-Methylbutyric acid","St_Abundance","Actinomyces.naeslundii",0.189096780771275
"2-Methylbutyric acid.Saccharomyces.cerevisiae.St_Abundance",-3.24569233630396,4.56130220491898,43,-0.711571430808455,0.480572913834075,"2-Methylbutyric acid","St_Abundance","Saccharomyces.cerevisiae",0.589194443324867
"2-Methylbutyric acid.Rothia.mucilaginosa.St_Abundance",-4.81632777978893,4.48123255080029,43,-1.07477746918731,0.288468418196887,"2-Methylbutyric acid","St_Abundance","Rothia.mucilaginosa",0.390160275527603
"2-Methylbutyric acid.Clostridium.sp..C105KSO14.St_Abundance",0.681878260094257,0.977942460170658,43,0.697258057468191,0.489394213170493,"2-Methylbutyric acid","St_Abundance","Clostridium.sp..C105KSO14",0.596024672171554
"2-Methylbutyric acid.Roseburia.intestinalis.St_Abundance",0.386892586142027,0.626672489736739,43,0.617376049656429,0.540242483084121,"2-Methylbutyric acid","St_Abundance","Roseburia.intestinalis",0.641693139789346
"2-Methylbutyric acid.Blautia.sp..VE303.05.St_Abundance",1.23970907708648,0.368079192216067,43,3.36804987432909,0.00160545498209112,"2-Methylbutyric acid","St_Abundance","Blautia.sp..VE303.05",0.00528048738655061
"2-Methylbutyric acid.Anaerotruncus.colihominis.St_Abundance",2.98744093183623,2.7776135231713,43,1.07554233406286,0.288129933632518,"2-Methylbutyric acid","St_Abundance","Anaerotruncus.colihominis",0.389848204892465
"2-Methylbutyric acid.Eggerthella.lenta.St_Abundance",0.796862064080041,2.45306492019039,43,0.324843446873878,0.74687474916925,"2-Methylbutyric acid","St_Abundance","Eggerthella.lenta",0.805662743737133
"2-Methylbutyric acid.Roseburia.inulinivorans.St_Abundance",1.54780914002595,1.4435860538165,43,1.07219734904885,0.289612275150189,"2-Methylbutyric acid","St_Abundance","Roseburia.inulinivorans",0.391321029031876
"2-Methylbutyric acid.Roseburia.intestinalis.CAG.13.St_Abundance",0.735557655401325,1.08258551688359,43,0.679445313030561,0.500497098444534,"2-Methylbutyric acid","St_Abundance","Roseburia.intestinalis.CAG.13",0.606023595104526
"2-Methylbutyric acid.X.Clostridium..symbiosum.St_Abundance",0.508053306135125,0.405659084916359,43,1.25241446580662,0.217187877481519,"2-Methylbutyric acid","St_Abundance","X.Clostridium..symbiosum",0.313937571205807
"2-Methylbutyric acid.Clostridioides.difficile.St_Abundance",0.767425657225977,0.441730373492704,43,1.73731693195114,0.0894900775897022,"2-Methylbutyric acid","St_Abundance","Clostridioides.difficile",0.159967935138114
"2-Methylbutyric acid.Blautia.producta.St_Abundance",0.811709698349771,0.92345841745852,43,0.878988899774939,0.384292967766465,"2-Methylbutyric acid","St_Abundance","Blautia.producta",0.493484297111555
"2-Methylbutyric acid.Actinomyces.sp..ICM47.St_Abundance",-6.18688576926397,6.87144820349201,43,-0.900375813954306,0.372935423787755,"2-Methylbutyric acid","St_Abundance","Actinomyces.sp..ICM47",0.48240270406296
"2-Methylbutyric acid.Blautia.coccoides.St_Abundance",0.785571308635813,0.926821446978642,43,0.847597248851662,0.401355611090591,"2-Methylbutyric acid","St_Abundance","Blautia.coccoides",0.510585302716511
"2-Methylbutyric acid.Lachnoclostridium.sp..MP625H6_ig1.St_Abundance",1.74930457452991,3.05551360861699,43,0.572507538371495,0.569959681184528,"2-Methylbutyric acid","St_Abundance","Lachnoclostridium.sp..MP625H6_ig1",0.66426678574526
"2-Methylbutyric acid.Lachnoclostridium.sp..MP403G7.St_Abundance",1.18954467516872,2.98717270785776,43,0.398217576117919,0.692440194120335,"2-Methylbutyric acid","St_Abundance","Lachnoclostridium.sp..MP403G7",0.762168732074041
"2-Methylbutyric acid.Lachnospiraceae.bacterium.7_1_58FAA.St_Abundance",0.225566593467382,0.481764846654084,43,0.468208909458565,0.641999912832938,"2-Methylbutyric acid","St_Abundance","Lachnospiraceae.bacterium.7_1_58FAA",0.722699341826251
"2-Methylbutyric acid.Roseburia.inulinivorans.CAG.15.St_Abundance",1.11113418295592,1.56117348920853,43,0.71173011240361,0.480475623800602,"2-Methylbutyric acid","St_Abundance","Roseburia.inulinivorans.CAG.15",0.589194443324867
"2-Methylbutyric acid.Lachnoclostridium.sp..MP625H7_ig1.St_Abundance",0.183932774844932,1.56860227229421,43,0.117259026136635,0.907200790618997,"2-Methylbutyric acid","St_Abundance","Lachnoclostridium.sp..MP625H7_ig1",0.927189960581788
"2-Methylbutyric acid.Anaeromassilibacillus.sp..An250.St_Abundance",1.21721705671902,1.80385505947085,43,0.674786508111184,0.503423639641521,"2-Methylbutyric acid","St_Abundance","Anaeromassilibacillus.sp..An250",0.608548856740068
"2-Methylbutyric acid.Absiella.sp..VE303.07.St_Abundance",1.36998094766297,0.410925589153428,43,3.33389057246433,0.00176999858508472,"2-Methylbutyric acid","St_Abundance","Absiella.sp..VE303.07",0.00580059318916351
"2-Methylbutyric acid.Lachnoclostridium.sp..VE303.01.St_Abundance",-1.03281990501931,1.29061872140142,43,-0.800251761339569,0.427964187371849,"2-Methylbutyric acid","St_Abundance","Lachnoclostridium.sp..VE303.01",0.53931537092001
"2-Methylbutyric acid.Tyzzerella.sp..MP10F1re.St_Abundance",0.177017286698757,0.494892999826315,43,0.357687998740903,0.722326608454619,"2-Methylbutyric acid","St_Abundance","Tyzzerella.sp..MP10F1re",0.788127343887134
"2-Methylbutyric acid.Anaerostipes.caccae.St_Abundance",0.932529465717175,0.679057336452058,43,1.3732705850576,0.176786928469626,"2-Methylbutyric acid","St_Abundance","Anaerostipes.caccae",0.264741352319167
"2-Methylbutyric acid.X.Ruminococcus..gnavus.St_Abundance",-0.427049976300176,1.09699977992253,43,-0.38928902641196,0.698983649600723,"2-Methylbutyric acid","St_Abundance","X.Ruminococcus..gnavus",0.767969281583788
"2-Methylbutyric acid.X.Ruminococcus..gnavus.CAG.126.St_Abundance",-0.320961154273579,1.06047028994985,43,-0.302659261004623,0.7636088587329,"2-Methylbutyric acid","St_Abundance","X.Ruminococcus..gnavus.CAG.126",0.819074073790582
"2-Methylbutyric acid.Blautia.sp..HF29.St_Abundance",0.116027288261226,0.807064151997484,43,0.143764641229645,0.886357972865848,"2-Methylbutyric acid","St_Abundance","Blautia.sp..HF29",0.912071429416564
"2-Methylbutyric acid.X.Clostridium..citroniae.St_Abundance",0.0755189738998606,1.09168394401137,43,0.0691765911866103,0.945169756847294,"2-Methylbutyric acid","St_Abundance","X.Clostridium..citroniae",0.958146309967361
"2-Methylbutyric acid.Clostridia.bacterium.UC5.1.2G4.St_Abundance",0.506030314553312,1.20976402634603,43,0.418288445955633,0.677817975489405,"2-Methylbutyric acid","St_Abundance","Clostridia.bacterium.UC5.1.2G4",0.749952732513966
"2-Methylbutyric acid.Blautia.sp..HF21_ig1.St_Abundance",0.0754002033122602,0.521750955474733,43,0.144513780992801,0.885769992422161,"2-Methylbutyric acid","St_Abundance","Blautia.sp..HF21_ig1",0.911985154406198
"2-Methylbutyric acid.Tyzzerella.nexilis.St_Abundance",-1.38591525708238,1.7453981065224,43,-0.794039624486437,0.431532771510428,"2-Methylbutyric acid","St_Abundance","Tyzzerella.nexilis",0.543055849504253
"2-Methylbutyric acid.Hungatella.sp..MP558G09.St_Abundance",-1.24307925203984,2.16988028528688,43,-0.572879186224546,0.569710251721367,"2-Methylbutyric acid","St_Abundance","Hungatella.sp..MP558G09",0.66426416072443
"2-Methylbutyric acid.X.Ruminococcus..sp..HK31.St_Abundance",-0.189013632125515,1.86935906025455,43,-0.101111464428763,0.91993197976614,"2-Methylbutyric acid","St_Abundance","X.Ruminococcus..sp..HK31",0.937289186931539
"2-Methylbutyric acid.Fusicatenibacter.saccharivorans.St_Abundance",1.18095187347725,1.58147945900502,43,0.746738673558389,0.459284996852602,"2-Methylbutyric acid","St_Abundance","Fusicatenibacter.saccharivorans",0.569463028996817
"2-Methylbutyric acid.Blautia.sp..HK34.St_Abundance",0.821778232174966,1.12702393889395,43,0.729157743518256,0.46985836093016,"2-Methylbutyric acid","St_Abundance","Blautia.sp..HK34",0.579198483763312
"2-Methylbutyric acid.Blautia.sp..MP87G3.St_Abundance",1.18962943936424,1.2834499634411,43,0.926899741517531,0.35915211983646,"2-Methylbutyric acid","St_Abundance","Blautia.sp..MP87G3",0.468256709754347
"2-Methylbutyric acid.Anaerotruncus.sp..VE303.02.St_Abundance",1.15110588843785,0.384851666988185,43,2.99103781320815,0.00458822633387533,"2-Methylbutyric acid","St_Abundance","Anaerotruncus.sp..VE303.02",0.0146904450229743
"2-Methylbutyric acid.Absiella.sp..MP634G1_ig1.St_Abundance",-0.148979766697081,0.727056042292057,43,-0.204908229945273,0.838610715903583,"2-Methylbutyric acid","St_Abundance","Absiella.sp..MP634G1_ig1",0.8758930629732
"2-Methylbutyric acid.Erysipelotrichaceae.bacterium.6_1_45.St_Abundance",0.309941855483691,0.817493489013468,43,0.379136787814325,0.706452109601746,"2-Methylbutyric acid","St_Abundance","Erysipelotrichaceae.bacterium.6_1_45",0.774528403799733
"2-Methylbutyric acid.X.Ruminococcus..sp..MP10A9.St_Abundance",0.983013297108976,1.21103297979307,43,0.811714720830264,0.421426118704179,"2-Methylbutyric acid","St_Abundance","X.Ruminococcus..sp..MP10A9",0.532500989100705
"2-Methylbutyric acid.Intestinibacter.sp..MP113D11.St_Abundance",0.478891516840511,0.64263226385313,43,0.745203040334682,0.460203011082092,"2-Methylbutyric acid","St_Abundance","Intestinibacter.sp..MP113D11",0.570268657676382
"2-Methylbutyric acid.Megasphaera.micronuciformis.St_Abundance",-0.35789651247918,0.963273463630236,43,-0.371541961854108,0.712058461446331,"2-Methylbutyric acid","St_Abundance","Megasphaera.micronuciformis",0.779729876971195
"2-Methylbutyric acid.Veillonella.sp..oral.taxon.158.St_Abundance",-5.74912235201608,2.20188911639966,43,-2.61099539899473,0.0123792552461452,"2-Methylbutyric acid","St_Abundance","Veillonella.sp..oral.taxon.158",0.0360903670270372
"2-Methylbutyric acid.Veillonella.rogosae.St_Abundance",-4.22200339536213,2.17343249830233,43,-1.94255096427422,0.0586376135397519,"2-Methylbutyric acid","St_Abundance","Veillonella.rogosae",0.11813495510199
"2-Methylbutyric acid.Raoultella.ornithinolytica.St_Abundance",1.22691347842624,1.8534041388986,43,0.661978384895234,0.511517357207326,"2-Methylbutyric acid","St_Abundance","Raoultella.ornithinolytica",0.616157270318851
"2-Methylbutyric acid.Haemophilus.parainfluenzae.St_Abundance",2.64453630777387,1.5839109353376,43,1.66962437645536,0.102259096902708,"2-Methylbutyric acid","St_Abundance","Haemophilus.parainfluenzae",0.176682623015281
"2-Methylbutyric acid.Lactobacillus.plantarum.St_Abundance",-1.87716351620804,0.549832941006702,43,-3.41406157435947,0.00140672393858601,"2-Methylbutyric acid","St_Abundance","Lactobacillus.plantarum",0.00463527068288176
"2-Methylbutyric acid.Clostridium.neonatale.St_Abundance",1.18919800281345,1.53135641400546,43,0.776565136592178,0.441666335125724,"2-Methylbutyric acid","St_Abundance","Clostridium.neonatale",0.552732203557547
"2-Methylbutyric acid.Sellimonas.sp..VE303.03.St_Abundance",0.370329716625593,0.839481151950183,43,0.441141192706098,0.661321010310296,"2-Methylbutyric acid","St_Abundance","Sellimonas.sp..VE303.03",0.736576642833317
"2-Methylbutyric acid.Veillonella.sp..HF34.St_Abundance",1.50300876918697,1.0299875619058,43,1.45924943637759,0.151763595779583,"2-Methylbutyric acid","St_Abundance","Veillonella.sp..HF34",0.233254328602605
"2-Methylbutyric acid.X.Clostridium..sp..VE303.04.St_Abundance",0.312628537283395,0.412020907130264,43,0.758768625264335,0.452130236090135,"2-Methylbutyric acid","St_Abundance","X.Clostridium..sp..VE303.04",0.563100583192465
"2-Methylbutyric acid.Bifidobacterium.longum.St_Abundance",-0.588124632491142,0.570327208663965,43,-1.03120563696911,0.308209869851872,"2-Methylbutyric acid","St_Abundance","Bifidobacterium.longum",0.411947981689013
"2-Methylbutyric acid.Veillonella.atypica.St_Abundance",-0.0461685843046583,0.782804691187074,43,-0.058978420574673,0.953242542018479,"2-Methylbutyric acid","St_Abundance","Veillonella.atypica",0.963899250146131
"2-Methylbutyric acid.Streptococcus.parasanguinis.St_Abundance",0.608285408409497,2.03762302878234,43,0.298526960000545,0.766738907849301,"2-Methylbutyric acid","St_Abundance","Streptococcus.parasanguinis",0.821457319691671
"2-Methylbutyric acid.Veillonella.sp..MP19D1_02.09.St_Abundance",-1.0821704810867,0.933300596681255,43,-1.15950904235443,0.252646994580701,"2-Methylbutyric acid","St_Abundance","Veillonella.sp..MP19D1_02.09",0.351140754654291
"2-Methylbutyric acid.Blautia.sp..MP351A5.St_Abundance",1.76770518516392,1.22757586428015,43,1.43999669315795,0.157109724928148,"2-Methylbutyric acid","St_Abundance","Blautia.sp..MP351A5",0.240043490198496
"2-Methylbutyric acid.Lactobacillus.fermentum.St_Abundance",-0.119797248466545,0.969991685018679,43,-0.123503376695686,0.902283991905321,"2-Methylbutyric acid","St_Abundance","Lactobacillus.fermentum",0.924253534177081
"2-Methylbutyric acid.Streptomyces.flaveus.St_Abundance",-2.47030555426453,10.5518203527048,43,-0.234111790353908,0.816009299111901,"2-Methylbutyric acid","St_Abundance","Streptomyces.flaveus",0.858233036100831
"2-Methylbutyric acid.Pediococcus.acidilactici.St_Abundance",-1.33120349946473,1.10760017216765,43,-1.20188090695171,0.235987171845627,"2-Methylbutyric acid","St_Abundance","Pediococcus.acidilactici",0.333777008497842
"2-Methylbutyric acid.Lactobacillus.casei.St_Abundance",-24.5136936151162,8.4008150052892,43,-2.9180137402957,0.00558260376664984,"2-Methylbutyric acid","St_Abundance","Lactobacillus.casei",0.0177485592510889
"2-Methylbutyric acid.Bifidobacterium.breve.St_Abundance",-0.194736663468081,0.775467889924993,43,-0.251121504833574,0.802916360890086,"2-Methylbutyric acid","St_Abundance","Bifidobacterium.breve",0.847913424897937
"2-Methylbutyric acid.Lachnoclostridium.sp..MP429E6.St_Abundance",1.64940167976453,0.726257496331514,43,2.27109763148198,0.0282053836654525,"2-Methylbutyric acid","St_Abundance","Lachnoclostridium.sp..MP429E6",0.0669161167879391
"2-Methylbutyric acid.Veillonella.dispar.St_Abundance",-4.31532882393455,2.29856512579377,43,-1.87740115583817,0.0672573546009726,"2-Methylbutyric acid","St_Abundance","Veillonella.dispar",0.130967227635263
"2-Methylbutyric acid.Veillonella.infantium.St_Abundance",-2.36624269309628,2.57072229805968,43,-0.920458306555424,0.362468613987313,"2-Methylbutyric acid","St_Abundance","Veillonella.infantium",0.471566657280892
"2-Methylbutyric acid.Blautia.sp..MP624D4_ig1.St_Abundance",0.647690067562378,1.1422298854942,43,0.567040029146276,0.573635387899048,"2-Methylbutyric acid","St_Abundance","Blautia.sp..MP624D4_ig1",0.666421036243798
"2-Methylbutyric acid.Sutterella.wadsworthensis.St_Abundance",0.583487190605543,0.368248186936989,43,1.58449440161231,0.120409146523754,"2-Methylbutyric acid","St_Abundance","Sutterella.wadsworthensis",0.194830184312587
"2-Methylbutyric acid.Bacteroides.fragilis.St_Abundance",0.221777885933615,0.311878725395063,43,0.7111029636686,0.480860202782892,"2-Methylbutyric acid","St_Abundance","Bacteroides.fragilis",0.589346955849764
"2-Methylbutyric acid.Flavonifractor.sp..VE303.08.St_Abundance",1.07082778134779,0.385727386375034,43,2.77612588364844,0.00811360679313812,"2-Methylbutyric acid","St_Abundance","Flavonifractor.sp..VE303.08",0.0254376337760604
"2-Methylbutyric acid.Streptococcus.mutans.St_Abundance",6.7068225102028,4.06987924712399,43,1.64791683068784,0.106658816249718,"2-Methylbutyric acid","St_Abundance","Streptococcus.mutans",0.182540963666736
"2-Methylbutyric acid.Blautia.sp..HF17.St_Abundance",0.129130211630107,0.813245294614574,43,0.158783841093488,0.874582600199482,"2-Methylbutyric acid","St_Abundance","Blautia.sp..HF17",0.902006798039261
"2-Methylbutyric acid.Blautia.sp..CAG.257.St_Abundance",-0.207311346328575,1.7234761843451,43,-0.120286748497979,0.904816291419331,"2-Methylbutyric acid","St_Abundance","Blautia.sp..CAG.257",0.925799022159259
"2-Methylbutyric acid.Eggerthella.sp..MP163B1.St_Abundance",3.68528372619349,2.55559988124572,43,1.44204253304203,0.156534707526964,"2-Methylbutyric acid","St_Abundance","Eggerthella.sp..MP163B1",0.239265978805473
"2-Methylbutyric acid.Anaerostipes.sp..MP172A5.St_Abundance",-1.74693076976618,2.56296789913376,43,-0.681604623435438,0.499143848963974,"2-Methylbutyric acid","St_Abundance","Anaerostipes.sp..MP172A5",0.604992444070908
"2-Methylbutyric acid.Streptococcus.sp..MP628A10_ig1.St_Abundance",0.903168598314922,1.44403454408624,43,0.62544805594414,0.534982589150709,"2-Methylbutyric acid","St_Abundance","Streptococcus.sp..MP628A10_ig1",0.63761971608554
"2-Methylbutyric acid.Streptococcus.sp..MP494C11.St_Abundance",1.1440057157092,1.44290745432094,43,0.792847602445574,0.432219569277311,"2-Methylbutyric acid","St_Abundance","Streptococcus.sp..MP494C11",0.543542023512448
"2-Methylbutyric acid.Blautia.hominis.St_Abundance",1.05608386366995,1.40601977883008,43,0.751115937038021,0.456674067911475,"2-Methylbutyric acid","St_Abundance","Blautia.hominis",0.567587350636798
"2-Methylbutyric acid.Blautia.marasmi.St_Abundance",1.04517139503184,1.43302799291281,43,0.729344716363423,0.469745185406906,"2-Methylbutyric acid","St_Abundance","Blautia.marasmi",0.579198483763312
"2-Methylbutyric acid.Blautia.sp..MP87F8_2.St_Abundance",1.98752228318368,3.42563705486474,43,0.580190560573604,0.564814255934634,"2-Methylbutyric acid","St_Abundance","Blautia.sp..MP87F8_2",0.66111225427742
"2-Methylbutyric acid.Lactobacillus.paracasei.St_Abundance",-1.95484731676151,1.27186503238115,43,-1.53699273664416,0.131621656946183,"2-Methylbutyric acid","St_Abundance","Lactobacillus.paracasei",0.207588123291757
"2-Methylbutyric acid.Klebsiella.michiganensis.St_Abundance",-1.18282469355705,0.301331515394669,43,-3.92532686801063,0.000308069305685993,"2-Methylbutyric acid","St_Abundance","Klebsiella.michiganensis",0.00102538615268806
