"","Value","Std.Error","DF","t.value","pval","scfa_var","Var","Strain","adj.pval","Class"
"Alloiso_Isolithocholic Acid.Actinomyces.graevenitzii.St_Abundance",11.228702134411,23.1827450653394,43,0.484356020081464,0.630591251970824,"Alloiso_Isolithocholic Acid","St_Abundance","Actinomyces.graevenitzii",0.730014926687606,"Secondary BA"
"Alloiso_Isolithocholic Acid.Actinomyces.sp..HPA0247.St_Abundance",2.97513648073816,10.5378034189478,43,0.282329852100735,0.779045128819938,"Alloiso_Isolithocholic Acid","St_Abundance","Actinomyces.sp..HPA0247",0.844147217092171,"Secondary BA"
"Alloiso_Isolithocholic Acid.Actinomyces.oris.St_Abundance",12.1935365251258,16.6281438177694,43,0.733307136307983,0.467350385208287,"Alloiso_Isolithocholic Acid","St_Abundance","Actinomyces.oris",0.589642541714339,"Secondary BA"
"Alloiso_Isolithocholic Acid.Actinomyces.naeslundii.St_Abundance",-1.86034594192966,13.2368145177117,43,-0.140543326299572,0.888887033648486,"Alloiso_Isolithocholic Acid","St_Abundance","Actinomyces.naeslundii",0.920435724221845,"Secondary BA"
"Alloiso_Isolithocholic Acid.Saccharomyces.cerevisiae.St_Abundance",8.92833713865116,10.5342967652819,43,0.847549422385411,0.401381961063973,"Alloiso_Isolithocholic Acid","St_Abundance","Saccharomyces.cerevisiae",0.528563263290814,"Secondary BA"
"Alloiso_Isolithocholic Acid.Rothia.mucilaginosa.St_Abundance",-3.39887835999145,9.98190820269592,43,-0.340503868696516,0.735135091836518,"Alloiso_Isolithocholic Acid","St_Abundance","Rothia.mucilaginosa",0.814116547984244,"Secondary BA"
"Alloiso_Isolithocholic Acid.Clostridium.sp..C105KSO14.St_Abundance",3.17645222150251,2.11100562169007,43,1.50471045120167,0.139709087141532,"Alloiso_Isolithocholic Acid","St_Abundance","Clostridium.sp..C105KSO14",0.238323721474211,"Secondary BA"
"Alloiso_Isolithocholic Acid.Roseburia.intestinalis.St_Abundance",0.284581260045493,1.37235001512018,43,0.207367841228589,0.836701546116833,"Alloiso_Isolithocholic Acid","St_Abundance","Roseburia.intestinalis",0.88440390332802,"Secondary BA"
"Alloiso_Isolithocholic Acid.Blautia.sp..VE303.05.St_Abundance",0.935740368667836,0.813036930694874,43,1.15091988240693,0.256125143781524,"Alloiso_Isolithocholic Acid","St_Abundance","Blautia.sp..VE303.05",0.378357016036134,"Secondary BA"
"Alloiso_Isolithocholic Acid.Anaerotruncus.colihominis.St_Abundance",16.6624938301615,5.60724004495524,43,2.97160344422076,0.00483529004272499,"Alloiso_Isolithocholic Acid","St_Abundance","Anaerotruncus.colihominis",0.0158482221484393,"Secondary BA"
"Alloiso_Isolithocholic Acid.Eggerthella.lenta.St_Abundance",22.1253971880918,4.50500760379608,43,4.91128964342883,1.3528261725391e-05,"Alloiso_Isolithocholic Acid","St_Abundance","Eggerthella.lenta",0.000102659968516436,"Secondary BA"
"Alloiso_Isolithocholic Acid.Roseburia.inulinivorans.St_Abundance",9.4334187656445,2.78559854285965,43,3.38649615890462,0.00152276583968984,"Alloiso_Isolithocholic Acid","St_Abundance","Roseburia.inulinivorans",0.0058896150817108,"Secondary BA"
"Alloiso_Isolithocholic Acid.Roseburia.intestinalis.CAG.13.St_Abundance",2.76977311045612,2.35905149670465,43,1.17410455614267,0.246814978142983,"Alloiso_Isolithocholic Acid","St_Abundance","Roseburia.intestinalis.CAG.13",0.366631394784218,"Secondary BA"
"Alloiso_Isolithocholic Acid.X.Clostridium..symbiosum.St_Abundance",1.00122161542566,0.839729158509401,43,1.19231493307071,0.239676251071447,"Alloiso_Isolithocholic Acid","St_Abundance","X.Clostridium..symbiosum",0.358261131046142,"Secondary BA"
"Alloiso_Isolithocholic Acid.Clostridioides.difficile.St_Abundance",1.84416577581422,0.984069493678532,43,1.87401986105735,0.0677327801991931,"Alloiso_Isolithocholic Acid","St_Abundance","Clostridioides.difficile",0.137518068889271,"Secondary BA"
"Alloiso_Isolithocholic Acid.Blautia.producta.St_Abundance",2.9227541055955,2.11816790263525,43,1.37985005908137,0.174765887318089,"Alloiso_Isolithocholic Acid","St_Abundance","Blautia.producta",0.282648777276829,"Secondary BA"
"Alloiso_Isolithocholic Acid.Actinomyces.sp..ICM47.St_Abundance",13.0652721036896,15.3552824966457,43,0.850864977999831,0.399557803710805,"Alloiso_Isolithocholic Acid","St_Abundance","Actinomyces.sp..ICM47",0.526738223707296,"Secondary BA"
"Alloiso_Isolithocholic Acid.Blautia.coccoides.St_Abundance",2.28665972291381,2.15347424727428,43,1.06184679283168,0.294232797097931,"Alloiso_Isolithocholic Acid","St_Abundance","Blautia.coccoides",0.419721431613339,"Secondary BA"
"Alloiso_Isolithocholic Acid.Lachnoclostridium.sp..MP625H6_ig1.St_Abundance",-8.3357758331724,7.23804289869395,43,-1.15166156789103,0.255823449297106,"Alloiso_Isolithocholic Acid","St_Abundance","Lachnoclostridium.sp..MP625H6_ig1",0.378005151821499,"Secondary BA"
"Alloiso_Isolithocholic Acid.Lachnoclostridium.sp..MP403G7.St_Abundance",-0.8861009433766,6.32266412920273,43,-0.140146768082134,0.889198453802854,"Alloiso_Isolithocholic Acid","St_Abundance","Lachnoclostridium.sp..MP403G7",0.920541518567513,"Secondary BA"
"Alloiso_Isolithocholic Acid.Lachnospiraceae.bacterium.7_1_58FAA.St_Abundance",1.69623916289609,0.998053301584843,43,1.69954766965109,0.0964403379752471,"Alloiso_Isolithocholic Acid","St_Abundance","Lachnospiraceae.bacterium.7_1_58FAA",0.179902625828535,"Secondary BA"
"Alloiso_Isolithocholic Acid.Roseburia.inulinivorans.CAG.15.St_Abundance",8.6570847469407,3.0445762147441,43,2.84344491197713,0.00680303351464352,"Alloiso_Isolithocholic Acid","St_Abundance","Roseburia.inulinivorans.CAG.15",0.0207773559193671,"Secondary BA"
"Alloiso_Isolithocholic Acid.Lachnoclostridium.sp..MP625H7_ig1.St_Abundance",6.32141846031416,3.37585334574626,43,1.87253941830129,0.0679418362471232,"Alloiso_Isolithocholic Acid","St_Abundance","Lachnoclostridium.sp..MP625H7_ig1",0.137855486038327,"Secondary BA"
"Alloiso_Isolithocholic Acid.Anaeromassilibacillus.sp..An250.St_Abundance",14.1540355913244,3.75508690206575,43,3.76929641323026,0.000494203688016741,"Alloiso_Isolithocholic Acid","St_Abundance","Anaeromassilibacillus.sp..An250",0.00216239327981203,"Secondary BA"
"Alloiso_Isolithocholic Acid.Absiella.sp..VE303.07.St_Abundance",0.972430485205012,0.942843160028998,43,1.03138096178701,0.308128621854446,"Alloiso_Isolithocholic Acid","St_Abundance","Absiella.sp..VE303.07",0.433957367148631,"Secondary BA"
"Alloiso_Isolithocholic Acid.Lachnoclostridium.sp..VE303.01.St_Abundance",0.83928433686144,2.77799737595655,43,0.302118477189867,0.764018254246555,"Alloiso_Isolithocholic Acid","St_Abundance","Lachnoclostridium.sp..VE303.01",0.835600307994191,"Secondary BA"
"Alloiso_Isolithocholic Acid.Tyzzerella.sp..MP10F1re.St_Abundance",-1.90671851873126,1.00145515669676,43,-1.90394797608358,0.0636226169036602,"Alloiso_Isolithocholic Acid","St_Abundance","Tyzzerella.sp..MP10F1re",0.130449688213052,"Secondary BA"
"Alloiso_Isolithocholic Acid.Anaerostipes.caccae.St_Abundance",-0.506538765333728,1.50400531676073,43,-0.336793201253232,0.737911087934614,"Alloiso_Isolithocholic Acid","St_Abundance","Anaerostipes.caccae",0.815999531611329,"Secondary BA"
"Alloiso_Isolithocholic Acid.X.Ruminococcus..gnavus.St_Abundance",-1.26709762626697,2.219485144695,43,-0.570897097146868,0.571041142710095,"Alloiso_Isolithocholic Acid","St_Abundance","X.Ruminococcus..gnavus",0.676956103057143,"Secondary BA"
"Alloiso_Isolithocholic Acid.X.Ruminococcus..gnavus.CAG.126.St_Abundance",1.11432273104737,2.12500478964862,43,0.524385985610711,0.60270303155105,"Alloiso_Isolithocholic Acid","St_Abundance","X.Ruminococcus..gnavus.CAG.126",0.705989054623266,"Secondary BA"
"Alloiso_Isolithocholic Acid.Blautia.sp..HF29.St_Abundance",1.31908490555813,1.63737338607944,43,0.805610324909805,0.424900272701632,"Alloiso_Isolithocholic Acid","St_Abundance","Blautia.sp..HF29",0.550888642212639,"Secondary BA"
"Alloiso_Isolithocholic Acid.X.Clostridium..citroniae.St_Abundance",1.87892516141,2.37789985959211,43,0.790161601562273,0.43376954086698,"Alloiso_Isolithocholic Acid","St_Abundance","X.Clostridium..citroniae",0.559680177904999,"Secondary BA"
"Alloiso_Isolithocholic Acid.Clostridia.bacterium.UC5.1.2G4.St_Abundance",2.05847042141871,2.47633912198751,43,0.831255462202843,0.410421582087057,"Alloiso_Isolithocholic Acid","St_Abundance","Clostridia.bacterium.UC5.1.2G4",0.537863002441718,"Secondary BA"
"Alloiso_Isolithocholic Acid.Blautia.sp..HF21_ig1.St_Abundance",1.17543638806218,1.09327296225016,43,1.07515362461989,0.288301919088987,"Alloiso_Isolithocholic Acid","St_Abundance","Blautia.sp..HF21_ig1",0.413549942814532,"Secondary BA"
"Alloiso_Isolithocholic Acid.Tyzzerella.nexilis.St_Abundance",1.00571422174162,3.62999232866509,43,0.277056844941452,0.78306402586244,"Alloiso_Isolithocholic Acid","St_Abundance","Tyzzerella.nexilis",0.846072201301397,"Secondary BA"
"Alloiso_Isolithocholic Acid.Hungatella.sp..MP558G09.St_Abundance",3.67303660604256,4.5652887272128,43,0.804557351246657,0.425501291637717,"Alloiso_Isolithocholic Acid","St_Abundance","Hungatella.sp..MP558G09",0.551556692425191,"Secondary BA"
"Alloiso_Isolithocholic Acid.X.Ruminococcus..sp..HK31.St_Abundance",1.97813346059806,3.94477684754208,43,0.501456365479989,0.61860774599619,"Alloiso_Isolithocholic Acid","St_Abundance","X.Ruminococcus..sp..HK31",0.719509045614375,"Secondary BA"
"Alloiso_Isolithocholic Acid.Fusicatenibacter.saccharivorans.St_Abundance",3.36247662873239,3.528689522482,43,0.952896707774761,0.345968480554964,"Alloiso_Isolithocholic Acid","St_Abundance","Fusicatenibacter.saccharivorans",0.472556650441608,"Secondary BA"
"Alloiso_Isolithocholic Acid.Blautia.sp..HK34.St_Abundance",5.03835052568484,2.34264841399241,43,2.15070707819034,0.0371631165364598,"Alloiso_Isolithocholic Acid","St_Abundance","Blautia.sp..HK34",0.0837830934323553,"Secondary BA"
"Alloiso_Isolithocholic Acid.Blautia.sp..MP87G3.St_Abundance",2.3867574457054,2.62106697382273,43,0.910605287671988,0.36757991053618,"Alloiso_Isolithocholic Acid","St_Abundance","Blautia.sp..MP87G3",0.494514533480174,"Secondary BA"
"Alloiso_Isolithocholic Acid.Anaerotruncus.sp..VE303.02.St_Abundance",0.537327805928601,0.836527085254352,43,0.642331629662921,0.524067964260713,"Alloiso_Isolithocholic Acid","St_Abundance","Anaerotruncus.sp..VE303.02",0.63767596414744,"Secondary BA"
"Alloiso_Isolithocholic Acid.Absiella.sp..MP634G1_ig1.St_Abundance",-0.610799779092189,1.75718660610774,43,-0.347600975883343,0.729835650739588,"Alloiso_Isolithocholic Acid","St_Abundance","Absiella.sp..MP634G1_ig1",0.811726560315595,"Secondary BA"
"Alloiso_Isolithocholic Acid.Erysipelotrichaceae.bacterium.6_1_45.St_Abundance",3.43788756298225,1.59841373987961,43,2.1508120689961,0.037154319243796,"Alloiso_Isolithocholic Acid","St_Abundance","Erysipelotrichaceae.bacterium.6_1_45",0.0837830934323553,"Secondary BA"
"Alloiso_Isolithocholic Acid.X.Ruminococcus..sp..MP10A9.St_Abundance",3.69155623853749,2.39554104263798,43,1.54101147625187,0.130641696454489,"Alloiso_Isolithocholic Acid","St_Abundance","X.Ruminococcus..sp..MP10A9",0.225883707418084,"Secondary BA"
"Alloiso_Isolithocholic Acid.Intestinibacter.sp..MP113D11.St_Abundance",0.28451626087913,1.38003528195084,43,0.20616593256727,0.837634353521187,"Alloiso_Isolithocholic Acid","St_Abundance","Intestinibacter.sp..MP113D11",0.884963166371869,"Secondary BA"
"Alloiso_Isolithocholic Acid.Megasphaera.micronuciformis.St_Abundance",-4.31787069863336,2.1769313733357,43,-1.98346661338116,0.0537241833951686,"Alloiso_Isolithocholic Acid","St_Abundance","Megasphaera.micronuciformis",0.113222132240408,"Secondary BA"
"Alloiso_Isolithocholic Acid.Veillonella.sp..oral.taxon.158.St_Abundance",-9.76405466464204,4.74537135766984,43,-2.0575954817236,0.0457245935533096,"Alloiso_Isolithocholic Acid","St_Abundance","Veillonella.sp..oral.taxon.158",0.0992242192088014,"Secondary BA"
"Alloiso_Isolithocholic Acid.Veillonella.rogosae.St_Abundance",-9.0877383572805,4.75113582271172,43,-1.91275069717827,0.0624550396185035,"Alloiso_Isolithocholic Acid","St_Abundance","Veillonella.rogosae",0.128547460744389,"Secondary BA"
"Alloiso_Isolithocholic Acid.Raoultella.ornithinolytica.St_Abundance",-3.84222045467611,4.07287968137825,43,-0.943367041320483,0.350763685219194,"Alloiso_Isolithocholic Acid","St_Abundance","Raoultella.ornithinolytica",0.477484026101557,"Secondary BA"
"Alloiso_Isolithocholic Acid.Haemophilus.parainfluenzae.St_Abundance",-2.11215282996487,3.48316093855269,43,-0.606389675132985,0.547444227465779,"Alloiso_Isolithocholic Acid","St_Abundance","Haemophilus.parainfluenzae",0.657792129844926,"Secondary BA"
"Alloiso_Isolithocholic Acid.Lactobacillus.plantarum.St_Abundance",-3.46899761103019,1.22744801578573,43,-2.82618698830156,0.00711883857874371,"Alloiso_Isolithocholic Acid","St_Abundance","Lactobacillus.plantarum",0.0214908160181878,"Secondary BA"
"Alloiso_Isolithocholic Acid.Clostridium.neonatale.St_Abundance",-0.518965395904012,3.14422122829788,43,-0.165053715442585,0.869675219734375,"Alloiso_Isolithocholic Acid","St_Abundance","Clostridium.neonatale",0.907072293100214,"Secondary BA"
"Alloiso_Isolithocholic Acid.Sellimonas.sp..VE303.03.St_Abundance",-1.89935591151877,1.76369735800757,43,-1.07691713824669,0.287522222787447,"Alloiso_Isolithocholic Acid","St_Abundance","Sellimonas.sp..VE303.03",0.412964151510709,"Secondary BA"
"Alloiso_Isolithocholic Acid.Veillonella.sp..HF34.St_Abundance",-1.02035573162706,2.26540589519658,43,-0.450407467284587,0.654679496324591,"Alloiso_Isolithocholic Acid","St_Abundance","Veillonella.sp..HF34",0.750088395592064,"Secondary BA"
"Alloiso_Isolithocholic Acid.X.Clostridium..sp..VE303.04.St_Abundance",0.766042831261422,0.854120619445669,43,0.896878981517376,0.374777565325417,"Alloiso_Isolithocholic Acid","St_Abundance","X.Clostridium..sp..VE303.04",0.501601806487158,"Secondary BA"
"Alloiso_Isolithocholic Acid.Bifidobacterium.longum.St_Abundance",-1.3258781462146,1.17333747453627,43,-1.13000579542439,0.264737850527238,"Alloiso_Isolithocholic Acid","St_Abundance","Bifidobacterium.longum",0.388233892975649,"Secondary BA"
"Alloiso_Isolithocholic Acid.Veillonella.atypica.St_Abundance",-4.96237679662925,1.73466438998386,43,-2.86071289944184,0.00650012508268014,"Alloiso_Isolithocholic Acid","St_Abundance","Veillonella.atypica",0.0200907277903886,"Secondary BA"
"Alloiso_Isolithocholic Acid.Streptococcus.parasanguinis.St_Abundance",2.51663477535169,4.58300420391925,43,0.549123383565639,0.585761261469679,"Alloiso_Isolithocholic Acid","St_Abundance","Streptococcus.parasanguinis",0.69003963988516,"Secondary BA"
"Alloiso_Isolithocholic Acid.Veillonella.sp..MP19D1_02.09.St_Abundance",-5.41461023848218,1.99393267416523,43,-2.7155431618317,0.00948925702196108,"Alloiso_Isolithocholic Acid","St_Abundance","Veillonella.sp..MP19D1_02.09",0.0269827149271678,"Secondary BA"
"Alloiso_Isolithocholic Acid.Blautia.sp..MP351A5.St_Abundance",2.89310185972019,2.95160337644252,43,0.980179750033747,0.332480256174411,"Alloiso_Isolithocholic Acid","St_Abundance","Blautia.sp..MP351A5",0.458121895397131,"Secondary BA"
"Alloiso_Isolithocholic Acid.Lactobacillus.fermentum.St_Abundance",-0.306056472383903,2.17463013514523,43,-0.140739552642806,0.888732942185621,"Alloiso_Isolithocholic Acid","St_Abundance","Lactobacillus.fermentum",0.920435724221845,"Secondary BA"
"Alloiso_Isolithocholic Acid.Streptomyces.flaveus.St_Abundance",0.24160308928141,22.7323294740891,43,0.0106281711936647,0.991569263884324,"Alloiso_Isolithocholic Acid","St_Abundance","Streptomyces.flaveus",0.994042005190768,"Secondary BA"
"Alloiso_Isolithocholic Acid.Pediococcus.acidilactici.St_Abundance",0.337306184729047,2.68098809162734,43,0.12581413016434,0.900465478275447,"Alloiso_Isolithocholic Acid","St_Abundance","Pediococcus.acidilactici",0.92807047123156,"Secondary BA"
"Alloiso_Isolithocholic Acid.Lactobacillus.casei.St_Abundance",-23.6722782550251,19.451100411282,43,-1.21701486057286,0.230236034255876,"Alloiso_Isolithocholic Acid","St_Abundance","Lactobacillus.casei",0.346727297104014,"Secondary BA"
"Alloiso_Isolithocholic Acid.Bifidobacterium.breve.St_Abundance",-0.538365843356856,1.69186631167925,43,-0.318208264825904,0.751867323210657,"Alloiso_Isolithocholic Acid","St_Abundance","Bifidobacterium.breve",0.826377343786526,"Secondary BA"
