feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacilli	rec.TRT.combined	Placebo Bad	-0.49801973653469	0.961072221264642	202	202	0.605728874091469	0.769994331472207
Deltaproteobacteria	rec.TRT.combined	Placebo Good	0.732407372700712	1.40508418933619	202	202	0.603775698809973	0.769994331472207
Actinobacteria	rec.TRT.combined	Placebo Bad	-0.380775154744992	1.08306747255973	202	202	0.726034242395862	0.907262476203358
Epsilonproteobacteria	Abx.group_joined	Vanco_Metro	-0.193162484863605	0.670719028458157	202	202	0.774197313026866	0.907262476203358
Epsilonproteobacteria	VE303	VE303	-0.0389458635861236	0.122295472140913	202	202	0.750634794288579	0.907262476203358
Verrucomicrobiae	Abx.group_joined	Vanco_Metro	-0.166644812650014	0.533826684980434	202	202	0.755807122340297	0.907262476203358
Verrucomicrobiae	rec.TRT.combined	Placebo Good	0.224889933572783	0.778851685270246	202	202	0.773488744068457	0.907262476203358
Coriobacteriia	rec.TRT.combined	VE303 Dosed Good	0.121275293514279	0.604766762486869	202	202	0.841575232932124	0.971048345690913
Actinobacteria	rec.TRT.combined	VE303 Dosed Good	-0.0437673495365167	0.783141555220006	202	202	0.955566640054857	0.971538393131843
Betaproteobacteria	Abx.group_joined	Vanco_Metro	-0.0874910313269234	1.15051685827412	202	202	0.939596365433917	0.971538393131843
Betaproteobacteria	rec.TRT.combined	Placebo Good	0.0664973613506384	1.61520037227003	202	202	0.967272637721632	0.971538393131843
Betaproteobacteria	VE303	VE303	0.0129812746280678	0.12087424832591	202	202	0.914644856712315	0.971538393131843
Deltaproteobacteria	Abx.group_joined	Vanco_Metro	0.138234038061702	1.00202375924394	202	202	0.890666789232042	0.971538393131843
Deltaproteobacteria	rec.TRT.combined	Placebo Bad	-0.240646059718947	1.52842346976927	202	202	0.875328890905016	0.971538393131843
Synergistia	rec.TRT.combined	Placebo Good	0.0521705587861301	0.704956864650679	202	202	0.941212014681463	0.971538393131843
Synergistia	rec.TRT.combined	Placebo Bad	0.0274460948523749	0.766575039714818	202	202	0.971538393131843	0.971538393131843
Verrucomicrobiae	rec.TRT.combined	VE303 Dosed Good	-0.0956555196274961	0.614311769005857	202	202	0.876638501782361	0.971538393131843
Verrucomicrobiae	rec.TRT.combined	Placebo Bad	0.0379406543735951	0.849063028123631	202	202	0.964463671531823	0.971538393131843
